Number xind yind east north data err wgt Elos Nlos Ulos
 185 1360 1754 85.13292 27.961250 295.916504 64.40736   1034 0.68740 -0.11958 0.71636
 186 1360 1724 85.13292 27.936250 462.178009 60.87243   1003 0.68687 -0.11953 0.71689
 187 1245 1846 85.03708 28.037917 -141.548798 41.71681    761 0.69522 -0.12025 0.70867
 188 1245 1876 85.03708 28.062917 -278.017578 52.21972    877 0.69607 -0.12034 0.70782
 189 1283 1876 85.06875 28.062917 -351.555573 45.85995    939 0.69411 -0.12020 0.70977
 190 1282 1846 85.06792 28.037917 -210.097763 60.48314    981 0.69362 -0.12014 0.71026
 191 1264 1921 85.05292 28.100417 -432.379639 67.98067   3195 0.69555 -0.12028 0.70834
 192 1341 1921 85.11708 28.100417 -523.413452 37.75052   4031 0.69191 -0.12001 0.71194
 193 1322 1846 85.10125 28.037917 -284.850006 58.79648    991 0.69096 -0.11988 0.71288
 194 1322 1876 85.10125 28.062917 -423.976379 45.31366   1100 0.69182 -0.11998 0.71203
 195 1360 1876 85.13292 28.062917 -501.305847 38.50777   1026 0.68980 -0.11981 0.71402
 196 1360 1846 85.13292 28.037917 -352.371521 65.49878   1108 0.68960 -0.11982 0.71421
 197 1456 1892 85.21292 28.076250 -584.944275 60.83176  15511 0.68330 -0.11911 0.72036
 198 1399 1724 85.16542 27.936250 455.716797 55.78494   1042 0.68452 -0.11931 0.71917
 199 1399 1754 85.16542 27.961250 293.444733 70.16449   1063 0.68490 -0.11933 0.71880
 200 1437 1754 85.19708 27.961250 260.609283 62.41272   1049 0.68297 -0.11916 0.72066
 201 1437 1724 85.19708 27.936250 411.054260 41.02813   1092 0.68248 -0.11912 0.72114
 202 1399 1785 85.16542 27.987083 72.101234 94.04201   1041 0.68535 -0.11936 0.71837
 203 1399 1815 85.16542 28.012083 -165.151947 75.62524   1097 0.68590 -0.11941 0.71783
 204 1438 1815 85.19792 28.012083 -231.432556 106.98013    819 0.68368 -0.11921 0.71998
 205 1437 1785 85.19708 27.987083 6.413301 113.69158    968 0.68331 -0.11917 0.72034
 206 1475 1785 85.22875 27.987083 -7.823720 95.65421   1060 0.68109 -0.11896 0.72247
 207 1475 1815 85.22875 28.012083 -296.192444 69.54892   1054 0.68207 -0.11909 0.72152
 208 1513 1815 85.26042 28.012083 -241.503876 83.53146   1066 0.67930 -0.11880 0.72418
 209 1513 1785 85.26042 27.987083 -34.696320 64.46994   1083 0.67884 -0.11876 0.72461
 210 1475 1724 85.22875 27.936250 358.992065 54.85601   1138 0.68030 -0.11893 0.72322
 211 1475 1754 85.22875 27.961250 208.878265 55.46120   1062 0.68088 -0.11899 0.72266
 212 1513 1754 85.26042 27.961250 155.418167 56.28392   1103 0.67857 -0.11876 0.72487
 213 1513 1724 85.26042 27.936250 309.369843 52.77029   1116 0.67784 -0.11866 0.72557
 214 1552 1724 85.29292 27.936250 263.050171 52.91843   1144 0.67569 -0.11848 0.72760
 215 1552 1754 85.29292 27.961250 116.289169 69.40730   1143 0.67626 -0.11854 0.72706
 216 1590 1754 85.32458 27.961250 73.284897 57.74521   1096 0.67391 -0.11830 0.72929
 217 1590 1724 85.32458 27.936250 224.015167 61.44949   1103 0.67343 -0.11826 0.72973
 218 1552 1785 85.29292 27.987083 -88.375656 65.27652   1174 0.67700 -0.11862 0.72636
 219 1552 1815 85.29292 28.012083 -291.756195 77.95143   1122 0.67716 -0.11860 0.72621
 220 1590 1815 85.32458 28.012083 -341.343018 67.46406   1102 0.67536 -0.11847 0.72791
 221 1590 1785 85.32458 27.987083 -145.761429 76.52438   1154 0.67509 -0.11845 0.72816
 222 1628 1785 85.35625 27.987083 -166.502289 76.13418   1143 0.67236 -0.11816 0.73073
 223 1628 1815 85.35625 28.012083 -409.542114 86.29855   1104 0.67344 -0.11830 0.72971
 224 1666 1815 85.38792 28.012083 -460.500977 53.58532   1108 0.67095 -0.11804 0.73204
 225 1666 1785 85.38792 27.987083 -255.053360 61.83300   1134 0.67029 -0.11797 0.73266
 226 1628 1724 85.35625 27.936250 168.842743 63.94868   1060 0.67127 -0.11805 0.73175
 227 1628 1754 85.35625 27.961250 8.353329 62.13248   1099 0.67192 -0.11811 0.73114
 228 1666 1754 85.38792 27.961250 -56.441486 75.18298   1081 0.66932 -0.11785 0.73356
 229 1666 1724 85.38792 27.936250 117.592728 66.12386   1134 0.66873 -0.11779 0.73411
 230 1552 1846 85.29292 28.037917 -492.293457 65.17550   1108 0.67791 -0.11870 0.72550
 231 1552 1876 85.29292 28.062917 -606.511963 36.44325   1112 0.67891 -0.11883 0.72454
 232 1590 1876 85.32458 28.062917 -636.350342 34.91730   1074 0.67628 -0.11854 0.72705
 233 1589 1845 85.32375 28.037083 -515.083923 58.48664   1060 0.67552 -0.11845 0.72776
 234 1571 1921 85.30875 28.100417 -688.225098 29.43840   3759 0.67752 -0.11860 0.72588
 235 1647 1920 85.37208 28.099583 -720.928833 20.48817   3920 0.67380 -0.11831 0.72938
 236 1647 1861 85.37208 28.050417 -623.417908 59.96395   4149 0.67318 -0.11829 0.72995
 237 1762 1891 85.46792 28.075417 -653.552307 49.85250  15001 0.66678 -0.11765 0.73591
 238 1705 1724 85.42042 27.936250 38.453667 77.59050   1172 0.66674 -0.11760 0.73595
 239 1705 1754 85.42042 27.961250 -126.239182 63.97379   1102 0.66701 -0.11760 0.73571
 240 1743 1754 85.45208 27.961250 -203.579529 47.80051   1067 0.66539 -0.11751 0.73719
 241 1743 1724 85.45208 27.936250 -31.505243 87.28033   1083 0.66447 -0.11739 0.73804
 242 1705 1785 85.42042 27.987083 -323.876617 61.90919   1182 0.66802 -0.11775 0.73477
 243 1705 1815 85.42042 28.012083 -500.278137 63.39167   1112 0.66838 -0.11778 0.73444
 244 1743 1815 85.45208 28.012083 -506.868225 49.04315   1060 0.66579 -0.11749 0.73684
 245 1743 1785 85.45208 27.987083 -348.670898 68.49065   1046 0.66519 -0.11743 0.73738
 246 1781 1785 85.48375 27.987083 -395.459381 54.12213   1079 0.66368 -0.11732 0.73876
 247 1781 1815 85.48375 28.012083 -527.740906 58.84249    933 0.66394 -0.11735 0.73852
 248 1819 1815 85.51542 28.012083 -468.917572 30.38950    985 0.66134 -0.11706 0.74090
 249 1819 1784 85.51542 27.986250 -360.085327 41.39914    924 0.66061 -0.11697 0.74156
 250 1781 1724 85.48375 27.936250 -92.604752 60.44651   1114 0.66246 -0.11720 0.73987
 251 1781 1754 85.48375 27.961250 -236.980988 55.43701   1120 0.66316 -0.11728 0.73923
 252 1819 1754 85.51542 27.961250 -252.834320 37.18007   1074 0.66040 -0.11697 0.74175
 253 1819 1724 85.51542 27.936250 -158.879944 62.41423   1033 0.65959 -0.11688 0.74248
 254 1552 1480 85.29292 27.732917 761.891113 40.35494   1189 0.67295 -0.11833 0.73016
 255 1552 1510 85.29292 27.757917 887.014221 25.39201   1127 0.67331 -0.11837 0.72983
 256 1590 1510 85.32458 27.757917 919.880493 23.39922   1134 0.67100 -0.11811 0.73199
 257 1590 1480 85.32458 27.732917 825.886169 47.91102   1178 0.67064 -0.11809 0.73232
 258 1571 1556 85.30875 27.796250 880.917542 57.85895   4551 0.67291 -0.11831 0.73020
 259 1628 1541 85.35625 27.783750 947.228516 22.47368   1156 0.66912 -0.11794 0.73374
 260 1628 1571 85.35625 27.808750 826.486145 31.82446   1092 0.66996 -0.11803 0.73296
 261 1666 1571 85.38792 27.808750 839.217896 48.47903   1113 0.66782 -0.11783 0.73494
 262 1666 1541 85.38792 27.783750 948.993347 30.46909   1109 0.66723 -0.11777 0.73548
