> -Z90.114475728
145.536894803 43.143037048
145.515354897 43.021389858
145.389785584 43.088814747
> -Z90.050342429
145.727141787 43.194612734
145.536894803 43.143037048
145.579250494 43.274141886
> -Z92.589784280
139.570367849 36.561486998
139.629534151 36.690154181
139.713452396 36.589798596
> -Z92.452717004
142.423650177 36.345522140
142.557472944 36.443613655
142.615020789 36.317389969
> -Z90.103880418
145.072365100 43.175661879
144.910934374 43.262502933
145.140867907 43.320121111
> -Z92.702040521
139.432053759 36.027863480
139.449630590 36.163142873
139.551601890 36.059100533
> -Z90.002401971
145.073558669 43.442677352
145.235075075 43.507163730
145.295488447 43.423526448
