146.438956947 42.051143227
146.611542236 41.974446321
> -Z73.547766667
141.103313649 38.539443212
141.032678528 38.653527643
141.178530573 38.690899604
> -Z8.765613333
143.134648838 38.232474235
143.306971976 38.277459126
143.265328476 38.159545892
> -Z7.415650000
143.457440680 38.298821437
143.306971976 38.277459126
143.336629098 38.444115586
> -Z6.612453333
143.336629098 38.444115586
143.533480928 38.446683301
143.457440680 38.298821437
> -Z9.650830000
143.306971976 38.277459126
143.134648838 38.232474235
143.166146037 38.379820523
> -Z23.422200000
142.684698012 39.020180937
142.541126604 38.933260951
142.552666515 39.097895875
> -Z21.835133333
142.541126604 38.933260951
142.684698012 39.020180937
142.746921903 38.900790589
> -Z18.713500000
143.536358243 41.179900525
143.372220668 41.206181045
143.461026218 41.280672873
> -Z18.192233333
143.536358243 41.179900525
143.395210032 41.056786119
143.372220668 41.206181045
> -Z3.284556667
143.494964236 37.627649387
143.298954300 37.589433203
143.375965231 37.747639409
> -Z23.373533333
141.887442432 37.257500079
142.096042007 37.163535485
141.894690750 37.097255903
> -Z12.549633333
143.529044624 39.987039201
143.375650171 39.911694614
143.382467818 40.045363120
> -Z12.678066667
143.529044624 39.987039201
143.382467818 40.045363120
143.483133137 40.146404609
> -Z10.952866667
143.483133137 40.146404609
143.694117302 40.176396561
143.635908623 40.047040689
> -Z11.399000000
143.483133137 40.146404609
143.635908623 40.047040689
